time_s,position_cm,setpoint_cm,error_cm,control_signal_v
53.80524301528931,4.66,5.0,0.33999999999999986,4.868
54.0554518699646,4.71,5.0,0.29000000000000004,4.868
54.32066893577576,4.61,5.0,0.3899999999999997,4.868
54.58817911148071,4.69,5.0,0.3099999999999996,4.848
54.854186058044434,4.88,15.0,10.120000000000001,8.221
55.05490183830261,10.43,15.0,4.57,7.517
55.22982454299927,15.71,15.0,-0.7100000000000009,4.692
55.28341627120972,15.78,15.0,-0.7799999999999994,4.438
55.33588671684265,15.76,15.0,-0.7599999999999998,4.37
55.39000582695007,15.78,15.0,-0.7799999999999994,4.379
55.44477391242981,15.78,15.0,-0.7799999999999994,4.35
55.56674766540527,15.64,15.0,-0.6400000000000006,4.379
55.67201781272888,15.32,15.0,-0.3200000000000003,4.575
55.72669863700867,15.22,15.0,-0.22000000000000064,4.633
55.778249740600586,15.12,15.0,-0.11999999999999922,4.633
55.95662260055542,15.27,15.0,-0.2699999999999996,4.643
56.06129169464111,15.15,15.0,-0.15000000000000036,4.673
56.16780352592468,15.2,15.0,-0.1999999999999993,4.702
56.29009675979614,15.17,15.0,-0.16999999999999993,4.653
56.39669108390808,15.22,15.0,-0.22000000000000064,4.673
56.503257274627686,15.22,15.0,-0.22000000000000064,4.673
56.680819511413574,15.2,15.0,-0.1999999999999993,4.682
56.83880090713501,15.02,15.0,-0.019999999999999574,4.673
56.89204120635986,15.12,15.0,-0.11999999999999922,4.702
57.015894412994385,15.17,15.0,-0.16999999999999993,4.643
57.12288045883179,15.2,15.0,-0.1999999999999993,4.712
57.22814750671387,15.2,15.0,-0.1999999999999993,4.653
57.406195402145386,15.17,15.0,-0.16999999999999993,4.673
57.51100254058838,15.1,15.0,-0.09999999999999964,4.643
57.61951279640198,15.24,15.0,-0.2400000000000002,4.692
57.740503787994385,15.2,15.0,-0.1999999999999993,4.682
57.79362106323242,15.0,15.0,0.0,4.682
57.847233295440674,15.15,15.0,-0.15000000000000036,4.643
57.90050148963928,15.2,15.0,-0.1999999999999993,4.673
57.953466176986694,15.2,15.0,-0.1999999999999993,4.643
58.13141131401062,15.17,15.0,-0.16999999999999993,4.692
58.236140727996826,15.24,15.0,-0.2400000000000002,4.663
58.2890100479126,15.12,15.0,-0.11999999999999922,4.643
58.342785596847534,15.12,15.0,-0.11999999999999922,4.682
58.46553325653076,15.15,15.0,-0.15000000000000036,4.663
58.57172179222107,15.15,15.0,-0.15000000000000036,4.653
58.62636756896973,15.12,15.0,-0.11999999999999922,4.663
58.67837357521057,15.17,15.0,-0.16999999999999993,4.653
58.85617017745972,15.34,15.0,-0.33999999999999986,4.673
58.96109080314636,15.22,15.0,-0.22000000000000064,4.682
59.01432204246521,15.17,15.0,-0.16999999999999993,4.682
59.191978216171265,15.2,15.0,-0.1999999999999993,4.653
59.29705262184143,15.12,15.0,-0.11999999999999922,4.682
59.35054540634155,15.24,15.0,-0.2400000000000002,4.673
59.40307664871216,15.1,15.0,-0.09999999999999964,4.643
59.57925748825073,14.85,15.0,0.15000000000000036,4.761
59.632384061813354,14.85,15.0,0.15000000000000036,4.829
59.739018201828,14.8,15.0,0.1999999999999993,4.8
59.79213905334473,14.83,15.0,0.16999999999999993,4.809
59.915064334869385,14.85,15.0,0.15000000000000036,4.8
59.96836829185486,14.95,15.0,0.05000000000000071,4.79
60.02194666862488,14.88,15.0,0.11999999999999922,4.78
60.07484245300293,14.76,15.0,0.2400000000000002,4.79
60.304354429244995,14.85,15.0,0.15000000000000036,4.8
60.35749650001526,14.78,15.0,0.22000000000000064,4.809
60.410927534103394,14.9,15.0,0.09999999999999964,4.809
60.463929414749146,14.83,15.0,0.16999999999999993,4.829
60.64014911651611,14.83,15.0,0.16999999999999993,4.79
60.7465922832489,14.83,15.0,0.16999999999999993,4.809
60.79986095428467,14.88,15.0,0.11999999999999922,4.809
60.85307049751282,14.83,15.0,0.16999999999999993,4.78
61.02946615219116,14.85,15.0,0.15000000000000036,4.78
61.085530042648315,14.9,15.0,0.09999999999999964,4.8
61.189332485198975,14.8,15.0,0.1999999999999993,4.809
61.3651168346405,14.83,15.0,0.16999999999999993,4.79
61.41838264465332,14.78,15.0,0.22000000000000064,4.8
61.472291231155396,14.93,15.0,0.07000000000000028,4.839
61.52756929397583,14.88,15.0,0.11999999999999922,4.819
61.754369258880615,14.8,15.0,0.1999999999999993,4.8
61.80759072303772,14.85,15.0,0.15000000000000036,4.8
61.86075758934021,14.83,15.0,0.16999999999999993,4.848
61.9140248298645,14.9,15.0,0.09999999999999964,4.819
61.96728038787842,14.85,15.0,0.15000000000000036,4.8
62.09018635749817,14.76,15.0,0.2400000000000002,4.829
62.19664907455444,14.93,15.0,0.07000000000000028,4.819
62.25,14.88,15.0,0.11999999999999922,4.8
62.30330753326416,14.8,15.0,0.1999999999999993,4.79
62.479321002960205,14.78,15.0,0.22000000000000064,4.829
62.53558945655823,14.83,15.0,0.16999999999999993,4.8
62.63906764984131,14.85,15.0,0.15000000000000036,4.77
62.69236731529236,14.71,15.0,0.28999999999999915,4.809
62.815261363983154,14.88,15.0,0.11999999999999922,4.79
62.86843204498291,14.85,15.0,0.15000000000000036,4.78
62.92190146446228,14.78,15.0,0.22000000000000064,4.79
62.978835582733154,14.95,15.0,0.05000000000000071,4.829
63.20445203781128,14.88,15.0,0.11999999999999922,4.809
63.25765943527222,14.76,15.0,0.2400000000000002,4.8
63.310855865478516,14.95,15.0,0.05000000000000071,4.829
63.36401605606079,14.76,15.0,0.2400000000000002,4.8
63.41732883453369,14.88,15.0,0.11999999999999922,4.809
63.540236711502075,14.88,15.0,0.11999999999999922,4.8
63.595282316207886,14.8,15.0,0.1999999999999993,4.809
63.699992179870605,14.83,15.0,0.16999999999999993,4.848
63.7534875869751,14.88,15.0,0.11999999999999922,4.819
63.92936849594116,14.68,15.0,0.3200000000000003,4.839
63.98270058631897,14.85,15.0,0.15000000000000036,4.819
64.03708505630493,14.78,15.0,0.22000000000000064,4.809
64.142333984375,14.8,15.0,0.1999999999999993,4.829
64.26524209976196,14.83,15.0,0.16999999999999993,4.829
64.37350344657898,14.83,5.0,-9.83,4.8
64.47959470748901,14.85,5.0,-9.85,0.714
64.67195987701416,9.35,5.0,-4.35,1.896
64.93995070457458,3.61,5.0,1.3900000000000001,5.386
65.20571756362915,4.44,5.0,0.5599999999999996,5.122
65.47272729873657,4.42,5.0,0.5800000000000001,5.024
65.73647785186768,4.52,5.0,0.4800000000000004,4.995
65.78538775444031,4.42,5.0,0.5800000000000001,4.995
65.98752403259277,4.44,5.0,0.5599999999999996,5.015
66.25497198104858,4.52,5.0,0.4800000000000004,5.024
66.5206127166748,4.44,5.0,0.5599999999999996,5.024
66.78483605384827,4.44,5.0,0.5599999999999996,4.995
67.05363535881042,4.47,5.0,0.5300000000000002,5.024
